date,tweets,image
2020-11-01 06:35:45,b'RT @MrMrsLeeMinHo1: @carlos_rhodora @GraceSa10499866 @nicoletteannmc @2019Zombie @MCambsl @pinkyfaye @FTangco @Lam2127 @MayYnfante @twinfla\xe2\x80\xa6',none

2020-11-01 06:34:55,b'RT @amorhestia: call her lawliets lolita \xf0\x9f\x8d\xad\xf0\x9f\x8d\xab\xf0\x9f\x8d\xb0\xf0\x9f\x8d\xac https://t.co/cOqz9mfTZD',http://pbs.twimg.com/media/ElszypFX0AEBCYj.jpg

2020-11-01 06:34:32,b'RT @EmirichuYT: Day 21: Elven\nCharacter: Star Guardian Janna (League of Legends)\n\nDay 29: Lolita \nCharacter: Celestia Ludenberg (Danganronp\xe2\x80\xa6',none

2020-11-01 06:32:09,b'RT @ughhwhatnow: romance is alive and well https://t.co/in7nyA8GiR',http://pbs.twimg.com/media/Ellt-aWWkAAzRvs.jpg

2020-11-01 06:28:43,b'@carlos_rhodora @GraceSa10499866 @nicoletteannmc @2019Zombie @MCambsl @pinkyfaye @FTangco @Lam2127 @MayYnfante\xe2\x80\xa6 https://t.co/wHJVuMOl58',none

2020-11-01 06:27:40,"b'RT @KirbyTheGorb: daily kirby #858, what if instead of kirby *in* a lolita dress , kirby *on* a lolita dress........ https://t.co/wwswRNo4Hw'",http://pbs.twimg.com/media/EltC6MPVMAAmaeS.jpg

2020-11-01 06:22:14,b'RT @Sydsydbizarre: Day 31: free day. My birthday. Last year I said I might make it my thing to draw a Lolita oc on my birthday. This year I\xe2\x80\xa6',none

2020-11-01 06:20:50,b'RT @EmirichuYT: Day 21: Elven\nCharacter: Star Guardian Janna (League of Legends)\n\nDay 29: Lolita \nCharacter: Celestia Ludenberg (Danganronp\xe2\x80\xa6',none

2020-11-01 06:20:38,b'RT @BetsayCamp: Be safe everyone ...\n@robotcry @arriolaalbert57 @iamMeinggay @babyquinto_1 @mariejoylove @mcaroline1936 @CoraMarcelo1 @Pore\xe2\x80\xa6',none

2020-11-01 06:19:09,b'Goth Lolita Sleeves Giveawayy?\n#royalehightrades #royalehigh #royalehighgiveaways #royalehighgiveaway #rhgiveaway\xe2\x80\xa6 https://t.co/PHEAYOQVFe',none

2020-11-01 06:15:39,"b'Just finished reading Ibitsu, wasn\'t good, but the ""lolita"" is lowkey kinda cute https://t.co/QSRXicllvo'",http://pbs.twimg.com/media/Elt5RqSVkAA7QEh.jpg

2020-11-01 06:13:49,b'RT @EmirichuYT: Day 21: Elven\nCharacter: Star Guardian Janna (League of Legends)\n\nDay 29: Lolita \nCharacter: Celestia Ludenberg (Danganronp\xe2\x80\xa6',none

2020-11-01 06:08:47,b'RT @ru____xut: \xf0\x9f\xa4\x8d \xe2\x84\x8c\xf0\x9d\x94\x9e\xf0\x9d\x94\xad\xf0\x9d\x94\xad\xf0\x9d\x94\xb6 \xe2\x84\x8c\xf0\x9d\x94\x9e\xf0\x9d\x94\xa9\xf0\x9d\x94\xa9\xf0\x9d\x94\xac\xf0\x9d\x94\xb4\xf0\x9d\x94\xa2\xf0\x9d\x94\xa2\xf0\x9d\x94\xab \xf0\x9f\x96\xa4\n\xf0\x9f\x91\xbb\n\nlolita @TOWA09180 https://t.co/hLwjsuZuO1',http://pbs.twimg.com/media/ElprRh4VoAI6ybd.jpg

2020-11-01 06:05:50,b'Which president hopeful ever had others campaign for him as much as Biden? I have no idea who the democratic presid\xe2\x80\xa6 https://t.co/lc3zHdBsoW',none

2020-11-01 06:03:30,b'RT @robloxtingz4: Highschool Lacey boots giveaway!\nFlop=delete\n\n~Rules~\nFollow me (@robloxtingz4)\nLike and retweet with tags\nComment done\xe2\x80\xa6',none

2020-11-01 06:03:14,b'RT @chichi_lily: Innocent world https://t.co/wbPnrVOASF',http://pbs.twimg.com/media/Ekp96lFUcAAWiaR.jpg

2020-11-01 06:02:09,"b'@Daisyy29385528 i give you skates, 10k, nocturnal kitty ears, goth lolita sleeves, antilique horns and SE skirt!'",none

2020-11-01 05:58:31,b'Goth Lolita sleeves are SOLDDD!\nTYSM for buying @Valrhshop',none

2020-11-01 05:57:21,b'RT @angry_nettle: Late night drawing of a sweetie lolita vocaloid. #Mayu #Vocaloid https://t.co/jabryKpEUQ',http://pbs.twimg.com/media/ElSL_9zW0AEwFTi.jpg

2020-11-01 05:56:39,"b""RT @0NVE0: Oomf at it again but this time it's a hyperfixation on gothic lolita kurapika \xf0\x9f\xa4\x92""",none

2020-11-01 05:56:14,b'@sutiblr I think adding your school bag adds a unique charm to your lolita look.',none

2020-11-01 05:54:12,"b'Help Rn pls. \n\nMe: Skates, sf skirt, goth Lolita sleeves, butterfly veil, DotD head flowers, ruffle velvet skirts a\xe2\x80\xa6 https://t.co/nSyx3IHbNz'",none

2020-11-01 05:53:13,"b'@po0000000000 Yes Lolita ,Go Touch.'",none

2020-11-01 05:53:11,"b""@moonlightslove_ @lolita_bih @BijuuMike Lol they're upset he didn't cry his eyes out over Kotoko being upset at the\xe2\x80\xa6 https://t.co/O6Ce9uIEek""",none

2020-11-01 05:51:46,b'@lowdruggies 2020 Parasol OR ltbs\nGoth Lolita Sleeves\nMagical Witch Hat\nVampire Crown\nNocturnal Kitty Ears\nPacifier\xe2\x80\xa6 https://t.co/Mrq19yOJie',none

2020-11-01 05:48:47,b'@olasoydora 2020 Parasol OR ltbs\nGoth Lolita Sleeves\nMagical Witch Hat\nVampire Crown\nNocturnal Kitty Ears\nPacifier\xe2\x80\xa6 https://t.co/UjSOHDzayC',none

2020-11-01 05:48:44,b'bye i love lolita',none

2020-11-01 05:47:09,"b'@lulu_kkkk i give you skates, nocturnal kitty ears, 10k diamonds,spring horns and goth lolita sleeves!'",none

2020-11-01 05:45:27,"b'@azm0oo i give you skates, nocturnal kitty ears, 10k diamonds,spring horns and goth lolita sleeves!'",none

2020-11-01 05:42:33,"b'@po0000000000 Yes Lolita ,No Touch.'",none

2020-11-01 05:40:00,b'RT @hertzprung: halloween request #3: lieutenant tsurumi in gothic lolita for @schrikes \n\ngot a little carried away with this one. gotta pi\xe2\x80\xa6',none

2020-11-01 05:39:32,"b'RT @rawrdere: lolita community so toxic like just let ppl enjoy themselves, shit ...'",none

2020-11-01 05:36:50,b'Me *browses lolita stuff on any lolita selling site*\nThis is so pretty... why is everything so expensive...',none

2020-11-01 05:35:34,b'@ekstazsi lolita campur likey',none

2020-11-01 05:35:27,b'RT @sapnapswifu: lolita minx and niki &lt;33 BUT THEY HAVE GUNS\xf0\x9f\xa7\x8e\xf0\x9f\xa7\x8e this didn\xe2\x80\x99t really turn out how i wanted it to but oh well. after the loh i\xe2\x80\xa6',none

2020-11-01 05:35:05,b'RT @hertzprung: halloween request #3: lieutenant tsurumi in gothic lolita for @schrikes \n\ngot a little carried away with this one. gotta pi\xe2\x80\xa6',none

2020-11-01 05:33:04,"b'Princess Diana was a victim of ""love jihad"". A less painful instance would be the dalliances of Imran Nazi. Muslim\xe2\x80\xa6 https://t.co/lhac535xeZ'",none

2020-11-01 05:31:04,"b""RT @Oneirio: i tried to go with the strive theme of making their outfits look more casual. dizzy's design is based on her rev 2 after story\xe2\x80\xa6""",none

2020-11-01 05:30:51,b'Bidding Goth Lolita Sleeves                       Starting  Bid: 15k                                      Highest B\xe2\x80\xa6 https://t.co/UfYvwhchTk',none

2020-11-01 05:30:49,b'RT @BelindaUtop: Lolita \xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5 Halloween \n@belindapop \xf0\x9f\x98\x8d\xf0\x9f\x8e\x83 https://t.co/nuk7vOwq7C',http://pbs.twimg.com/ext_tw_video_thumb/1322751295632023552/pu/img/RqYdHX-aM_u00WMf.jpg

2020-11-01 05:26:00,b'Lolita Flores',none

2020-11-01 05:24:50,"b""@lolnagito @lolita_bih @BijuuMike When someone makes fun of kotoko's trauma people naturally attack that person. Bi\xe2\x80\xa6 https://t.co/bcxKCO7w1C""",none

2020-11-01 05:22:09,"b""RT @Lindsey_Rose1: Tim Curry is here and he's singing and my heart and I love him and I love this \xf0\x9f\x92\x9c #RockyHorrorLive https://t.co/AWWnmLxNDq""",http://pbs.twimg.com/ext_tw_video_thumb/1322740739386888192/pu/img/Wnxq41n0180xS0Ll.jpg

2020-11-01 05:21:57,"b'RT @KNDmex: Wait, I can explain. Tim Curry \xf0\x9f\x92\x95 #RockyHorrorLive https://t.co/hqfvvzdNuu'",http://pbs.twimg.com/ext_tw_video_thumb/1322744507864027137/pu/img/6CFzGNzov1OcZqJ6.jpg

